Time Stamp,Data Point 1,Data Point 2,Data Point 3,Data Point 4,Data Point 5
06-Feb-20 14:12:00,Off,No Data,599.6923218,599.9727173,Off
06-Feb-20 14:13:00,Off,No Data,599.6921997,599.9729614,Off
06-Feb-20 14:14:00,Off,No Data,599.6921387,599.9731445,Off
06-Feb-20 14:15:00,Off,No Data,599.6920166,599.9733887,Off
06-Feb-20 14:16:00,Off,No Data,599.6918945,599.9736328,Off
06-Feb-20 14:17:00,Off,No Data,599.6917725,599.973877,Off
06-Feb-20 14:18:00,Off,No Data,599.6917114,599.9740601,Off
06-Feb-20 14:19:00,Off,No Data,599.6915894,599.9743042,Off
06-Feb-20 14:20:00,Off,No Data,599.6914673,599.9745483,Off
06-Feb-20 14:21:00,Off,No Data,599.6913452,599.9747925,Off
06-Feb-20 14:22:00,Off,No Data,599.6912842,599.9749756,Off
06-Feb-20 14:23:00,Off,No Data,599.6911621,599.9752197,Off
06-Feb-20 14:24:00,Off,No Data,599.69104,599.9754639,Off
06-Feb-20 14:25:00,Off,No Data,599.690918,599.975708,Off
06-Feb-20 14:26:00,Off,No Data,599.6908569,599.9758911,Off
06-Feb-20 14:27:00,Off,No Data,599.6907349,599.9761353,Off
06-Feb-20 14:28:00,Off,No Data,599.6906128,599.9763794,Off
06-Feb-20 14:29:00,Off,No Data,599.6904907,599.9766235,Off
06-Feb-20 14:30:00,Off,No Data,599.6904297,599.9768066,Off
06-Feb-20 14:31:00,Off,No Data,599.6903076,599.9770508,Off
06-Feb-20 14:32:00,Off,No Data,599.6901855,599.9772949,Off
06-Feb-20 14:33:00,Off,No Data,599.6900635,599.9775391,Off
06-Feb-20 14:34:00,Off,No Data,599.6900024,599.9777222,Off
06-Feb-20 14:35:00,Off,No Data,599.6898804,599.9779663,Off
06-Feb-20 14:36:00,Off,No Data,599.6897583,599.9782104,Off
06-Feb-20 14:37:00,Off,No Data,599.6896362,599.9784546,Off
06-Feb-20 14:38:00,Off,No Data,599.6895752,599.9786377,Off
06-Feb-20 14:39:00,Off,No Data,599.6894531,599.9788818,Off
06-Feb-20 14:40:00,Off,No Data,599.6893311,599.979126,Off
06-Feb-20 14:41:00,Off,No Data,599.689209,599.9793701,Off
06-Feb-20 14:42:00,Off,No Data,599.6891479,599.9795532,Off
06-Feb-20 14:43:00,Off,No Data,599.6890259,599.9797974,Off
06-Feb-20 14:44:00,Off,No Data,599.6889038,599.9800415,Off
06-Feb-20 14:45:00,Off,No Data,599.6887817,599.9802856,Off
06-Feb-20 14:46:00,Off,No Data,599.6886597,599.9804688,Off
06-Feb-20 14:47:00,Off,No Data,599.6885986,599.9807129,Off
06-Feb-20 14:48:00,Off,No Data,599.6884766,599.980957,Off
06-Feb-20 14:49:00,Off,No Data,599.6883545,599.9812012,Off
06-Feb-20 14:50:00,Off,No Data,599.6882324,599.9813843,Off
06-Feb-20 14:51:00,Off,No Data,599.6881714,599.9816284,Off
06-Feb-20 14:52:00,Off,No Data,599.6880493,599.9818726,Off
06-Feb-20 14:53:00,Off,No Data,599.6879272,599.9821167,Off
06-Feb-20 14:54:00,Off,No Data,599.6878052,599.9822998,Off
06-Feb-20 14:55:00,Off,No Data,599.6877441,599.9825439,Off
06-Feb-20 14:56:00,Off,No Data,599.6876221,599.9827881,Off
06-Feb-20 14:57:00,Off,No Data,599.6875,599.9830322,Off
06-Feb-20 14:58:00,Off,No Data,599.6873779,599.9832153,Off
06-Feb-20 14:59:00,Off,No Data,599.6873169,599.9834595,Off
06-Feb-20 15:00:00,Off,No Data,599.6871948,599.9837036,Off
06-Feb-20 15:01:00,Off,No Data,599.6870728,599.9839478,Off
06-Feb-20 15:02:00,Off,No Data,599.6869507,599.9841309,Off
06-Feb-20 15:03:00,Off,No Data,599.6868896,599.984375,Off
06-Feb-20 15:04:00,Off,No Data,599.6867676,599.9846191,Off
06-Feb-20 15:05:00,Off,No Data,599.6866455,599.9848633,Off
06-Feb-20 15:06:00,Off,No Data,599.6865234,599.9850464,Off
06-Feb-20 15:07:00,Off,No Data,599.6864624,599.9852905,Off
06-Feb-20 15:08:00,Off,No Data,599.6863403,599.9855347,Off
06-Feb-20 15:09:00,Off,No Data,599.6862183,599.9857788,Off
06-Feb-20 15:10:00,Off,No Data,599.6860962,599.9859619,Off
06-Feb-20 15:11:00,Off,No Data,599.6860352,599.9862061,Off
06-Feb-20 15:12:00,Off,No Data,599.6859131,599.9864502,Off
06-Feb-20 15:13:00,Off,No Data,599.685791,599.9866943,Off
06-Feb-20 15:14:00,Off,No Data,599.6856689,599.9868774,Off
06-Feb-20 15:15:00,Off,No Data,599.6856079,599.9871216,Off
06-Feb-20 15:16:00,Off,No Data,599.6854858,599.9873657,Off
06-Feb-20 15:17:00,Off,No Data,599.6853638,599.9876099,Off
06-Feb-20 15:18:00,Off,No Data,599.6852417,599.987793,Off
06-Feb-20 15:19:00,Off,No Data,599.6851807,599.9880371,Off
06-Feb-20 15:20:00,Off,No Data,599.6850586,599.9882813,Off
06-Feb-20 15:21:00,Off,No Data,599.6849365,599.9885254,Off
06-Feb-20 15:22:00,Off,No Data,599.6848145,599.9887085,Off
06-Feb-20 15:23:00,Off,No Data,599.6847534,599.9889526,Off
06-Feb-20 15:24:00,Off,No Data,599.6846313,599.9891968,Off
06-Feb-20 15:25:00,Off,No Data,599.6845093,599.9894409,Off
06-Feb-20 15:26:00,Off,No Data,599.6843872,599.989624,Off
06-Feb-20 15:27:00,Off,No Data,599.6843262,599.9898682,Off
06-Feb-20 15:28:00,Off,No Data,599.6842041,599.9901123,Off
06-Feb-20 15:29:00,Off,No Data,599.684082,599.9903564,Off
06-Feb-20 15:30:00,Off,No Data,599.68396,599.9905396,Off
06-Feb-20 15:31:00,Off,No Data,599.6838989,599.9907837,Off
06-Feb-20 15:32:00,Off,No Data,599.6837769,599.9910278,Off
06-Feb-20 15:33:00,Off,No Data,599.6836548,599.991272,Off
06-Feb-20 15:34:00,Off,No Data,599.6835327,599.9914551,Off
06-Feb-20 15:35:00,Off,No Data,599.6834106,599.9916992,Off
06-Feb-20 15:36:00,Off,No Data,599.6833496,599.9919434,Off
06-Feb-20 15:37:00,Off,No Data,599.6832275,599.9921875,Off
06-Feb-20 15:38:00,Off,No Data,599.6831055,599.9923706,Off
06-Feb-20 15:39:00,Off,No Data,599.6829834,599.9926147,Off
06-Feb-20 15:40:00,Off,No Data,599.6829224,599.9928589,Off
06-Feb-20 15:41:00,Off,No Data,599.6828003,599.993103,Off
06-Feb-20 15:42:00,Off,No Data,599.6826782,599.9932861,Off
06-Feb-20 15:43:00,Off,No Data,599.6825562,599.9935303,Off
06-Feb-20 15:44:00,Off,No Data,599.6824951,599.9937744,Off
06-Feb-20 15:45:00,Off,No Data,599.682373,599.9940186,Off
06-Feb-20 15:46:00,Off,No Data,599.682251,599.9942017,Off
06-Feb-20 15:47:00,Off,No Data,599.6821289,599.9944458,Off
06-Feb-20 15:48:00,Off,No Data,599.6820679,599.9946899,Off
06-Feb-20 15:49:00,Off,No Data,599.6819458,599.9949341,Off
06-Feb-20 15:50:00,Off,No Data,599.6818237,599.9951172,Off
06-Feb-20 15:51:00,Off,No Data,599.6817017,599.9953613,Off
06-Feb-20 15:52:00,Off,No Data,599.6816406,599.9956055,Off
